_2008,_2009,_2010,_2011,_2012,_2013,_2014,_2015,_2016,_2017,_2018,_2019,_2020
123,166,220,190,184,171,227,183,193,168,127,134,22
339,276,273,273,276,344,355,308,218,176,102,80,20
191,158,181,192,263,204,172,173,131,187,68,87,31
493,759,825,678,633,680,655,610,743,789,702,585,130
635,558,605,552,516,685,650,511,427,500,113,121,42
472,439,578,555,629,995,963,919,828,686,434,519,195
240,310,350,320,375,351,336,421,293,250,146,191,70
14,11,34,25,24,9,16,23,4,2,6,6,0
791,655,675,668,757,807,939,1.526,1.536,1.324,358,387,138
456,523,587,691,744,864,722,688,560,537,527,624,220
528,736,922,779,993,1.137,1.376,1.250,1.036,903,837,968,281
132,119,145,112,131,186,182,156,156,176,158,134,48
153,147,164,176,140,203,185,153,115,95,82,64,9
35,84,110,126,174,227,186,144,44,34,118,71,17
90,88,164,198,128,254,252,119,68,54,55,37,33
237,267,284,301,428,709,693,411,464,641,571,601,186
734,897,781,661,838,731,627,999,792,582,639,1.186,433
101,64,113,171,303,131,113,129,72,76,73,73,16
992,961,1.189,1.173,982,979,1.742,1.735,1.439,1.120,1.407,1.369,360
156,108,152,112,140,180,142,105,101,82,88,66,28
